date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:10	105/105	---M--	200	added ('OK')	text/plain	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/robots.txt		(from )
12:57:15	1767790/1767790	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202014%2007:27:01%20GMT	http://www.wrist.im/	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/index.html	(from )
12:57:16	25504/25504	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Aug%202014%2018:58:27%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.google-analytics.com/analytics.js	(from http://www.wrist.im/)
12:57:17	28463/28463	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/modernizr.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/modernizr.js	(from http://www.wrist.im/)
12:57:17	8146/8146	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/images/ribbons/awarded-ss-rhs.svg	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/images/ribbons/awarded-ss-rhs.svg	(from http://www.wrist.im/)
12:57:20	12127/12127	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/jquery.svgdom.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/jquery.svgdom.js	(from http://www.wrist.im/)
12:57:20	58130/58130	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/jquery.svg.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/jquery.svg.js	(from http://www.wrist.im/)
12:57:21	8267/8267	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/jquery.easing.1.3.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/jquery.easing.1.3.js	(from http://www.wrist.im/)
12:57:21	11766/11766	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/foundation/foundation.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/foundation/foundation.js	(from http://www.wrist.im/)
12:57:21	7176/7176	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/foundation/foundation.tooltips.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/foundation/foundation.tooltips.js	(from http://www.wrist.im/)
12:57:22	7790/7790	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Jul%202014%2017:57:08%20GMT	http://www.wrist.im/javascripts/vendor/jquery.scrollTo-1.4.3.1.js	C:/Users/Abhik%20Lodh/Desktop/Html/wrist/www.wrist.im/javascripts/vendor/jquery.scrollTo-1.4.3.1.js	(from http://www.wrist.im/)
